id,type,title,genre,description,published_at,content_rating,rating_value,rating_count,duration,keywords,directors,actors
tt0240515,Movie,Freddy Got Fingered,['Comedy'],"An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.",2001-04-20,16,4.6,50917,87,"['masturbating a horse', 'erect horse penis', 'surrealism', 'blow job', 'satire']",['Tom Green'],"['Tom Green', 'Rip Torn', 'Marisa Coughlan']"
tt0243415,Movie,Mercy Streets,"['Action', 'Drama', 'Crime']","Estranged twin brothers - one a con man, the other an Episcopal deacon - accidentally switch places... and find God in the process.",2000-10-31,16,5.2,585,106,"['caper crime', 'deacon', 'twin brother', 'twins', 'church']",['Jon Gunn'],"['Eric Roberts', 'David A.R. White', 'Cynthia Watros']"
tt0087892,Movie,A Passage to India,"['Adventure', 'Drama', 'History']","Cultural mistrust and false accusations doom a friendship in British colonial India between an Indian doctor, an Englishwoman engaged to marry a city magistrate, and an English educator.",1985-04-04,AL,7.3,20469,164,"['india', 'doctor', 'cave', '1920s', 'small town']",['David Lean'],"['Judy Davis', 'Victor Banerjee', 'Peggy Ashcroft']"
tt1056441,Movie,Tru Loved,"['Comedy', 'Drama', 'Romance']",Tru moves to a conservative suburb where her friendship with the closeted football player is jeopardized when she starts their school's first Gay-Straight Alliance.,2008-02-28,R,5.5,947,102,"['gay athlete', 'lesbian', 'lesbian mother', 'gay straight alliance', 'gay']",['Stewart Wade'],"['Najarra Townsend', 'J.J. Soria', 'Howard Booth']"
tt1122614,Movie,And Everything Is Going Fine,['Documentary'],A look at the art of Spalding Gray who drew from real life experience to create a compelling and deeply personal series of monologues.,,Not Rated,7.1,1292,89,"['monologue', 'spalding gray', 'interview', 'suicide', 'oral sex']",['Steven Soderbergh'],"['Spalding Gray', 'Forrest Gray', 'Kathie Russo']"
tt0094963,Movie,The Dead Pool,"['Action', 'Crime', 'Mystery']","Inspector ""Dirty"" Harry Callahan must stop a sick secret contest to murder various San Francisco celebrities, with himself being one of the targets.",1989-01-26,12,6.3,48669,91,"['funeral', 'neo western', 'modern western', 'cowboy cop', '1980s film']",['Buddy Van Horn'],"['Clint Eastwood', 'Liam Neeson', 'Patricia Clarkson']"
tt4462082,Movie,Counting,['Documentary'],"Fifteen distinct but interconnected chapters, shot in locations from Russia to New York City to Istanbul. Together, these build to a reckoning at the intersection of city symphony, diary, and essay film. Perhaps the most personal ...",2015-07-31,Not Rated,6.1,169,111,"['city', 'diary', 'essay', 'surveillance', 'city symphony']",['Jem Cohen'],[]
tt0098022,Movie,Old Gringo,"['Adventure', 'History', 'Romance']","When school teacher Harriet Winslow goes to Mexico to teach, she is kidnapped by Gen. Tomas Arroyo and his revolutionaries. An aging American, Ambrose ""Old Gringo"" Bierce also in Mexico, befriends Gen. Arroyo and meets Harriet. Bi...",1989-10-06,R,5.8,2092,119,"['1910s', 'mexico', 'horse', 'spinster', 'mexican revolution']",['Luis Puenzo'],"['Jane Fonda', 'Gregory Peck', 'Jimmy Smits']"
tt0106489,Movie,A Bronx Tale,"['Crime', 'Drama']","Robert De Niro and Chazz Palminteri give captivating performances in this intense drama about a boy torn between his tough, hard-working father and a violent yet charismatic crime boss.",1995-08-03,12,7.8,159006,121,"['mentor', 'mafia', 'coming of age', 'father son relationship', 'year 1960']",['Robert De Niro'],"['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato']"
tt0227005,Movie,Made,"['Comedy', 'Crime', 'Drama']","Two aspiring boxers, life-long friends, get involved in a money-laundering scheme through a low-level organized crime group.",2001-11-08,12,6.3,19289,95,"['new york city', 'stripper', 'directorial debut', 'friendship', 'loudmouth']",['Jon Favreau'],"['Vince Vaughn', 'Jon Favreau', 'Joe Goossen']"
