id,size,width,height,pixels,movie_year,red_pixels,green_pixels,blue_pixels,object detected
tt1961447,28632,300,433,129900,2012,6593068,10446056,11034736,"man 0.330, woman 0.328, animal 0.084, animal 0.068, woman 0.031, animal 0.024, animal 0.015, animal 0.012, animal 0.011, animal 0.009, animal 0.009, animal 0.008, animal 0.004, instrument 0.004"
tt2011265,28865,300,445,133500,2012,13547221,13311477,11877793,"shield 0.297, microphone 0.018, roses 0.017, roses 0.015, roses 0.014, shield 0.005, roses 0.004, roses 0.004, roses 0.004, roses 0.003"
tt2085888,29081,300,445,133500,2012,13984690,22209135,23288561,"woman 0.166, woman 0.146, woman 0.108, roses 0.003"
tt1694020,29102,300,447,134100,2012,10426824,11065568,12212945,"woman 0.453, car 0.178, man 0.088, man 0.073, man 0.045, woman 0.037, car 0.024, car 0.024, car 0.006, car 0.005"
tt2309048,29116,300,407,122100,2012,9942465,10284477,10927241,"man 0.181, woman 0.153, woman 0.095, microphone 0.092, man 0.082, woman 0.061, man 0.052, man 0.027, microphone 0.009, man 0.009, woman 0.009, microphone 0.008, microphone 0.007, woman 0.007, man 0.006, man 0.005, microphone 0.005, microphone 0.003, weapon 0.003"
tt1840417,29156,300,445,133500,2012,8215116,8617593,10029580,"woman 0.404, man 0.249, woman 0.065, man 0.007"
tt2281267,29223,300,445,133500,2012,7112920,8533242,9623350,"instrument 0.061, animal 0.032, instrument 0.010, instrument 0.007"
tt2266938,29294,300,422,126600,2012,9783932,11173646,12972725,"woman 0.395, man 0.129, animal 0.107, man 0.089, animal 0.015, man 0.008, microphone 0.006, man 0.005, woman 0.003"
tt2073016,29316,300,433,129900,2012,6968770,14526235,18064408,"man 0.205, man 0.200, car 0.046, man 0.011, man 0.004, car 0.004"
tt1132449,29373,300,445,133500,2012,23279337,24279872,25890976,"woman 0.393, woman 0.362, man 0.194, microphone 0.081, man 0.062, woman 0.061, woman 0.032, microphone 0.020, microphone 0.015, microphone 0.010, microphone 0.007, microphone 0.006"
tt1937222,29434,300,443,132900,2012,9813097,15312040,16697485,"woman 0.678, man 0.517, man 0.011, woman 0.008"
tt1931388,29485,300,443,132900,2012,5609450,5723494,6381059,"man 0.351, man 0.037, microphone 0.010, microphone 0.004, roses 0.004"
tt1954352,29587,300,470,141000,2012,11365299,11302014,16466205,"man 0.342, man 0.069, man 0.058, man 0.014, shield 0.007, microphone 0.005, man 0.004, shield 0.004"
tt2170584,29626,300,445,133500,2012,14346430,10990514,8301107,microphone 0.030
tt1855401,29677,300,444,133200,2012,24764857,23996428,19199132,"animal 0.570, man 0.198, man 0.130, animal 0.026, man 0.019, instrument 0.008, animal 0.007"
tt1343727,29700,300,445,133500,2012,8234048,7482068,8338899,"man 0.389, weapon 0.010, man 0.009, instrument 0.004"
tt1920849,29749,300,445,133500,2012,7750366,10633396,15779162,"woman 0.233, man 0.169, woman 0.166, woman 0.104, woman 0.091, woman 0.082, man 0.043, woman 0.030, woman 0.027, woman 0.024, woman 0.014, woman 0.012, woman 0.005, woman 0.004, instrument 0.003"
tt2091398,29753,300,427,128100,2012,17519123,18502273,17776591,airplane 0.010
tt1945087,29775,300,450,135000,2012,13434607,14620874,11075557,"woman 0.364, woman 0.196, man 0.193, woman 0.075, man 0.022, car 0.012, woman 0.007, man 0.006, roses 0.005"
tt1754853,29840,300,445,133500,2012,15551122,16825483,21673307,"man 0.370, man 0.128, airplane 0.026, instrument 0.016, microphone 0.015, instrument 0.008, microphone 0.007, weapon 0.005, microphone 0.004, airplane 0.004, microphone 0.003"
tt1366365,29894,300,444,133200,2012,9032100,7619280,5568817,"man 0.511, microphone 0.054, microphone 0.043, woman 0.026, man 0.024, man 0.022, woman 0.016, man 0.013, man 0.013, man 0.011, woman 0.011, microphone 0.010, woman 0.007, man 0.007, man 0.006, woman 0.005, man 0.003, woman 0.003"
tt1663631,29903,300,445,133500,2012,5637518,6426411,7099719,"woman 0.490, woman 0.350, woman 0.008"
tt0903624,30038,300,445,133500,2012,4154037,6726958,7208211,"woman 0.565, shield 0.062, instrument 0.013, instrument 0.007, woman 0.006, weapon 0.005, microphone 0.004, shield 0.004, weapon 0.003"
tt2063781,30139,300,445,133500,2012,9967520,10845402,12044021,"woman 0.286, man 0.230, man 0.069, man 0.011, woman 0.005, man 0.004"
tt1393742,30211,300,444,133200,2012,13330920,21193398,21333358,"woman 0.326, woman 0.145, woman 0.092, man 0.088, animal 0.032, car 0.031, woman 0.031, woman 0.026, man 0.007, animal 0.006, woman 0.006, woman 0.005, animal 0.005, woman 0.004, animal 0.003"
tt1636826,30253,300,444,133200,2012,7519347,7677003,10526324,"woman 0.054, man 0.045, man 0.034, man 0.029, woman 0.017, microphone 0.013, man 0.012, roses 0.012, roses 0.011, man 0.010, man 0.009, woman 0.009, man 0.004, weapon 0.004"
tt1496025,30298,300,443,132900,2012,14895018,15078257,13241510,"woman 0.606, animal 0.009, instrument 0.008, weapon 0.007, man 0.005, instrument 0.004, instrument 0.004, weapon 0.004, animal 0.004, weapon 0.004, airplane 0.003"
